Название,Вымышленный автор,Автор,Редкость,Тип,Архетип,Общение,Интеллект,Самоотверженность,Здоровье,Способности,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,URL в игре,Текст
Ведунья,нет,Александр и Елена,необычный спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,нерешительный,300,"очень редкий,острый глаз,едок,вьючный",живая плоть,"худой,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,серп (урон: режущий; материал: металл; тип силы: ближе к магии),https://the-tale.org/guide/companions/159,"
> С недавних пор благодаря ряду исследований можно смело утверждать, что возможности ведуний сильно преувеличены. Пророчества, предсказания погоды и прочие предвиденья – всерьёз всего этого ведуньи не могут. Что касается будущего, то в лучшем случае это предупреждение опасности на дороге, а погоду намного лучше предугадывают шаманы.

"
Дрессированный каракал,нет,Александр и Елена,необычный спутник,животные,воин,жестовое,инстинкты,смелый,300,"агрессивный,боец,камуфляж,едок,самостоятельный,пожиратель",живая плоть,"шерсть: короткая,хвост",4 лапы,кошачье,крохотный,горизонтальное,"когти (урон: рвущий; материал: роговое образование; тип силы: ближе к физике),клыки (урон: кусательный; материал: зуб; тип силы: ближе к физике)",https://the-tale.org/guide/companions/20,"
> Только немногие мастера, орки и люди, способны дрессировать этих диких кошек. Секрет воспитания передаётся из поколения в поколение и тщательно оберегается. Но результат, как правило, превосходит все ожидания: красавцы каракалы становятся очень послушными и готовы отдать жизнь за своего хозяина.

"
Пугало,нет,Александр и Елена,редкий спутник,демоны,авантюрист,"жестовое,телепатическое",гений,храбрый,600,"себе на уме,агрессивный,экзорцист,очень редкий,острый глаз,громила,временный",энергия,"худой,кожа: кора,одежда: плохо,глаза: жёлтые,глаза: светятся",2 ноги,гуманоидное,большой,вертикальное,серп (урон: режущий; материал: металл; тип силы: магическая),https://the-tale.org/guide/companions/173,"
> О природе полумифического Пугала из геройский баек до сих пор ведутся споры. При этом многие учёные уверены, что за всеми упоминаниями о нём с середины II эпохи присутствует незримая взаимосвязь.  
>   
> Герои описывают Пугало как ожившее и разумное огородное чучело. Обычно оно тонкое и худое, с жутковатой нарисованной улыбкой, одетое в старый и подпоясанный кушаком кафтан с ржавым серпом на поясе. Чаще всего Пугало приходит на помощь в сражении с демонами, путешествует некоторое время с героем, будучи незримым для встречных, а потом бесследно исчезает.  
>   
> Всё это, а ещё упоминания о любви Пугала к злым шуткам, вынуждают признавать его фольклорность.

"
Геккон,нет,Александр и Елена,обычный спутник,хладнокровные гады,воин,жестовое,рефлексы,нерешительный,300,"милый,едок,связной,самостоятельный",живая плоть,"кожа: морщинистая,хвост",4 лапы,ящериное,крохотный,горизонтальное,клыки (урон: кусательный; материал: зуб; тип силы: магическая),https://the-tale.org/guide/companions/120,"
> Геккон невелик размером, мало ест, неприхотлив и прост в содержании. Польза геккона наукой не доказана, но многие искренне верят в то, что милая пятнистая ящерка приносит удачу.

"
Белая ведьма,нет,Александр и Елена,редкий спутник,разумные двуногие,маг,"вербальное,жестовое",нормальный,храбрый,400,"миролюбивый,лекарь,едок,прилив сил,бодрость духа",живая плоть,одежда: хорошо,2 ноги,гуманоидное,средний,вертикальное,серп (урон: режущий; материал: металл; тип силы: равновесие),https://the-tale.org/guide/companions/152,"
> Творя маленькие чудеса посредством стихов и пучков сухих травок, подобно обычным ведьмам, так называемые белые имеют принципиальное отличие от своих ""коллег"" – мировоззрение. Эти ведьмы не злобны, часто специализируются на лечении недугов всегда стремятся помочь страждущим. Черпая магию из природы, как все ведьмы, белые направляют свою Силу на добро.

"
Глиняный барс,нет,Александр и Елена,редкий спутник,конструкты,воин,жестовое,рефлексы,храбрый,500,"боец,сложный,таран",глина,"зубы: клыки,хвост",4 лапы,кошачье,средний,горизонтальное,клыки (урон: кусательный; материал: камень; тип силы: ближе к физике),https://the-tale.org/guide/companions/31,"
> Глиняный барс весьма распространён по всей Пандоре. По большому счёту этот конструкт весьма хорош, но трудно выделить какие-то характерные именно для него положительные качества. Средней полезности помощник для средних по сложности дел, однако, крупный хищник, пусть и изготовленный из дешёвой глины, смотрится прекрасно и создаёт неплохой имидж хозяину.

"
Лейтенант в отставке,нет,Александр и Елена,легендарный спутник,разумные двуногие,воин,"вербальное,жестовое",нормальный,доблестный,500,"добросовестный,честный,агрессивный,едок,личные вещи,острый глаз,очень редкий,громила,известный,лекарь,торгаш,воодушевление",живая плоть,борода: средняя,2 ноги,гуманоидное,средний,вертикальное,"арбалет (урон: стрелковый колющий; материал: дерево; тип силы: ближе к физике),меч (урон: колющий / рубящий; материал: металл; тип силы: физическая)",https://the-tale.org/guide/companions/176,"Лейтенантами стражи становятся двумя путями: протеже влиятельной персоны занимает должность, пока не освободится позиция капитана, или же начальство с неохотой признаёт, что умение и опыт выходца из простого народа уже невозможно игнорировать. Те, кто становятся лейтенантами вторым путём, имеют привычку брать с собой значительное количество разнообразных припасов, и, как правило, обладают навыками первой помощи. Иные просто не доживают.  
  
Лейтенант стражи в отставке — явление довольно редкое, так как уходить в отставку с этой должности не принято. Обычно это те, кто чем-то не угодил начальству, но имеют слишком большой вес среди сослуживцев, чтобы просто их устранить. Порой отставные лейтенанты решают покинуть город вместе с каким-нибудь героем, прежде чем с ними случится ""несчастный случай""."
Громоход,нет,Александр и Елена,эпический спутник,конструкты,воин,жестовое,рефлексы,доблестный,700,"исполнительный,тягловой,шумный,скакун",металл,глаза: светятся,2 лапы,птичье,средний,вертикальное,рог (урон: колющий; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/161,"
> Ездовому конструкту изготовитель дал когда-то громкое, гордое название, которое никто сейчас не вспомнит. Основной спрос громоход имеет среди ходоков, которые и дали ему новое имя, подходящее магомеханическому устройству куда лучше. Из устоявшегося названия ясно, что данный конструкт весьма шумный и имеет ноги. Если попытаться описать громоход точнее, то нужно упомянуть его внешний вид, более всего напоминающий железную курицу размером с телёнка. Вместо головы с гребешком и клювом у конструкта – небольшой металлический шар с тремя глазами-кристаллами и острым ни то рогом, ни то шипом. Конечно же, крылья громоходу ни к чему, на их местах расположены вместительные ящики для багажа. Спина его увенчана специальной нишей, в которой установлены кресло и всего лишь один рычаг управления. Магомеханизм удобен и прост в использовании, но невероятно гремит во время движения. Эту досадную особенность громохода безуспешно пытались устранить многие маги, инженеры и кузнецы.

"
Самокатная телега,нет,Александр и Елена,редкий спутник,конструкты,авантюрист,жестовое,отсутствует,нерешительный,400,"тягловой,неповоротливый,редкий,ездовой,таран",дерево,руки: отсутствуют,ездит на колёсах,бочкообразное,большой,горизонтальное,шипы (урон: рвущий / колющий; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/174,"
> Первые самокатные телеги и фургоны появились под конец II эпохи сразу в нескольких городах независимо друг от друга по заказу крупнейших и влиятельнейших торговых домов. Тогда они считались символом престижа и достатка. С развитием магомеханики конструкция самокатных телег упростилась, но цена по-прежнему осталась высокой. Тем не менее, на них есть устойчивый спрос в среде торговых домов, городских советов, гильдий и даже некоторых богатых купцов. Что же касается отдельных героев, то те предпочитают более специализированных для путешествий и боёв конструктов.

"
Бодайка,нет,Александр и Елена,редкий спутник,конструкты,воин,жестовое,рефлексы,храбрый,700,"таран,громила",металл,толстый,ездит на колёсах,бочкообразное,средний,горизонтальное,рога (урон: колющий / ударный; материал: металл; тип силы: физическая),https://the-tale.org/guide/companions/165,"
> Бодайка – один из самых оригинальных боевых магомеханизмов, по крайней мере, внешне. Представьте себе пузатую бронзовую бочку, лежащую на трёх колёсах: два сзади, одно спереди. Над передним колесом на огромных заклёпках держится литая из бронзы же голова барана, иногда быка. Удар такого хорошенько разогнавшегося конструкта способен не просто оглушить врага, но изрядно переломать кости.

"
